菜系,菜名,食材,类型
川菜,酸菜鱼,黑鱼/草鱼,主料
川菜,酸菜鱼,酸菜,主料
川菜,酸菜鱼,干辣椒,调料
川菜,酸菜鱼,花椒,调料
川菜,酸菜鱼,姜,调料
川菜,酸菜鱼,蒜,调料
川菜,酸菜鱼,泡椒,调料
川菜,酸菜鱼,蛋清,辅料
川菜,酸菜鱼,淀粉,辅料
川菜,麻婆豆腐,嫩豆腐,主料
川菜,麻婆豆腐,猪肉末,主料
川菜,麻婆豆腐,郫县豆瓣酱,调料
川菜,麻婆豆腐,花椒粉,调料
川菜,麻婆豆腐,蒜苗,辅料
川菜,麻婆豆腐,豆豉,调料
川菜,回锅肉,五花肉,主料
川菜,回锅肉,蒜苗,辅料
川菜,回锅肉,郫县豆瓣酱,调料
川菜,回锅肉,甜面酱,调料
川菜,回锅肉,姜,调料
川菜,宫保鸡丁,鸡胸肉,主料
川菜,宫保鸡丁,花生米,辅料
川菜,宫保鸡丁,干辣椒,调料
川菜,宫保鸡丁,花椒,调料
川菜,宫保鸡丁,黄瓜丁,辅料
川菜,水煮牛肉,牛肉,主料
川菜,水煮牛肉,豆芽,辅料
川菜,水煮牛肉,干辣椒,调料
川菜,水煮牛肉,花椒,调料
川菜,水煮牛肉,郫县豆瓣酱,调料
粤菜,白切鸡,三黄鸡,主料
粤菜,白切鸡,姜,调料
粤菜,白切鸡,葱,调料
粤菜,白切鸡,沙姜,调料
粤菜,白切鸡,花生油,调料
粤菜,清蒸鱼,鲈鱼/石斑,主料
粤菜,清蒸鱼,姜,辅料
粤菜,清蒸鱼,葱,辅料
粤菜,清蒸鱼,蒸鱼豉油,调料
粤菜,叉烧,猪梅花肉,主料
粤菜,叉烧,叉烧酱,调料
粤菜,叉烧,蜂蜜,调料
粤菜,叉烧,老抽,调料
粤菜,干炒牛河,河粉,主料
粤菜,干炒牛河,牛肉,主料
粤菜,干炒牛河,豆芽,辅料
粤菜,干炒牛河,韭黄,辅料
粤菜,干炒牛河,老抽,调料
粤菜,煲仔饭,腊肠,主料
粤菜,煲仔饭,大米,主料
粤菜,煲仔饭,青菜,辅料
粤菜,煲仔饭,酱油,调料
湘菜,剁椒鱼头,胖头鱼头,主料
湘菜,剁椒鱼头,剁椒,主料
湘菜,剁椒鱼头,姜,调料
湘菜,剁椒鱼头,蒜,调料
湘菜,剁椒鱼头,蒸鱼豉油,调料
湘菜,辣椒炒肉,猪五花肉,主料
湘菜,辣椒炒肉,青椒,主料
湘菜,辣椒炒肉,蒜,调料
湘菜,辣椒炒肉,豆豉,调料
湘菜,小炒黄牛肉,黄牛肉,主料
湘菜,小炒黄牛肉,小米辣,辅料
湘菜,小炒黄牛肉,香菜,辅料
湘菜,小炒黄牛肉,泡椒,调料
湘菜,农家一碗香,鸡蛋,主料
湘菜,农家一碗香,猪肉,主料
湘菜,农家一碗香,青椒,主料
湘菜,农家一碗香,豆豉,调料
家常菜,番茄炒蛋,番茄,主料
家常菜,番茄炒蛋,鸡蛋,主料
家常菜,番茄炒蛋,糖,调料
家常菜,番茄炒蛋,葱,辅料
家常菜,红烧排骨,猪排骨,主料
家常菜,红烧排骨,老抽,调料
家常菜,红烧排骨,冰糖,调料
家常菜,红烧排骨,八角,调料
家常菜,红烧排骨,姜,调料
家常菜,可乐鸡翅,鸡翅,主料
家常菜,可乐鸡翅,可乐,调料
家常菜,可乐鸡翅,老抽,调料
家常菜,可乐鸡翅,姜,调料
家常菜,醋溜白菜,大白菜,主料
家常菜,醋溜白菜,干辣椒,调料
家常菜,醋溜白菜,醋,调料
家常菜,醋溜白菜,蒜,调料
家常菜,鱼香肉丝,猪里脊,主料
家常菜,鱼香肉丝,木耳,辅料
家常菜,鱼香肉丝,胡萝卜,辅料
家常菜,鱼香肉丝,泡椒,调料
家常菜,鱼香肉丝,郫县豆瓣酱,调料
日料,寿司,寿司米,主料
日料,寿司,三文鱼/金枪鱼,主料
日料,寿司,寿司醋,调料
日料,寿司,海苔,辅料
日料,寿司,芥末,调料
日料,味噌汤,味噌,主料
日料,味噌汤,嫩豆腐,辅料
日料,味噌汤,海带,辅料
日料,味噌汤,葱花,辅料
日料,照烧鸡腿,鸡腿,主料
日料,照烧鸡腿,味醂,调料
日料,照烧鸡腿,日本酱油,调料
日料,照烧鸡腿,清酒,调料
日料,亲子丼,鸡腿肉,主料
日料,亲子丼,鸡蛋,主料
日料,亲子丼,洋葱,辅料
日料,亲子丼,日式高汤(出汁),调料
日料,亲子丼,味醂,调料
韩餐,韩式拌饭,米饭,主料
韩餐,韩式拌饭,牛肉末,主料
韩餐,韩式拌饭,菠菜,辅料
韩餐,韩式拌饭,胡萝卜,辅料
韩餐,韩式拌饭,韩式辣酱,调料
韩餐,韩式拌饭,芝麻油,调料
韩餐,泡菜锅,韩式泡菜,主料
韩餐,泡菜锅,五花肉,主料
韩餐,泡菜锅,豆腐,辅料
韩餐,泡菜锅,金针菇,辅料
韩餐,韩式炸鸡,鸡翅/鸡腿,主料
韩餐,韩式炸鸡,韩式辣酱,调料
韩餐,韩式炸鸡,番茄酱,调料
韩餐,韩式炸鸡,蒜,调料
韩餐,参鸡汤,整鸡,主料
韩餐,参鸡汤,糯米,辅料
韩餐,参鸡汤,人参,辅料
韩餐,参鸡汤,红枣,辅料
韩餐,参鸡汤,蒜,调料
西餐,煎牛排,牛排,主料
西餐,煎牛排,黄油,调料
西餐,煎牛排,迷迭香,调料
西餐,煎牛排,黑胡椒,调料
西餐,煎牛排,海盐,调料
西餐,意面,意大利面,主料
西餐,意面,橄榄油,调料
西餐,意面,帕玛森芝士,辅料
西餐,意面,大蒜,调料
西餐,意面,番茄罐头/新鲜番茄,主料
西餐,意面,罗勒,调料
西餐,凯撒沙拉,罗马生菜,主料
西餐,凯撒沙拉,帕玛森芝士,辅料
西餐,凯撒沙拉,面包丁,辅料
西餐,凯撒沙拉,凯撒酱,调料
西餐,奶油蘑菇汤,口蘑,主料
西餐,奶油蘑菇汤,淡奶油,主料
西餐,奶油蘑菇汤,黄油,调料
西餐,奶油蘑菇汤,洋葱,辅料
东南亚,冬阴功,虾,主料
东南亚,冬阴功,冬阴功酱,调料
东南亚,冬阴功,椰浆,调料
东南亚,冬阴功,香茅,调料
东南亚,冬阴功,南姜,调料
东南亚,冬阴功,青柠,辅料
东南亚,咖喱鸡,鸡肉,主料
东南亚,咖喱鸡,咖喱粉/咖喱块,调料
东南亚,咖喱鸡,椰浆,调料
东南亚,咖喱鸡,土豆,辅料
东南亚,咖喱鸡,胡萝卜,辅料
东南亚,越南春卷,米纸,主料
东南亚,越南春卷,虾,主料
东南亚,越南春卷,米粉,辅料
东南亚,越南春卷,生菜,辅料
东南亚,越南春卷,薄荷,辅料
东南亚,越南春卷,鱼露,调料
